# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
2.000000000000000000e+01,2.142512976944090486e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,6.120005953526170828e+01,1.710862341153787103e-01,2.064925331153955046e-01,2.693141183728253729e-01,3.406030797513417419e-01,2.674592188424124162e-01,3.098201459533682645e-01,1.764392403231822559e-01,1.025656890225585727e+01,1.666666666666666644e-02,1.675469600978103657e-02
2.100000000000000000e+01,1.396122402146026675e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.538584173242518460e+01,-1.310249775369094483e-01,-7.324442485028637151e-02,2.911455376047472621e-01,3.523672137214728384e-01,2.277907658356658205e-01,2.705880064829000453e-01,2.276831506536342864e-01,6.953780656800555349e+00,1.666666666666666644e-02,1.607780371234856023e-02
2.200000000000000000e+01,4.303302269743111808e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.854105440889286882e+01,8.372894531471725132e-02,1.330112074831120150e-01,1.016591881811101106e-01,1.584111293746550686e-01,8.115984998934934469e-02,1.349449804941758035e-01,5.134846608350198544e-02,9.054225974607708949e+00,1.666666666666666644e-02,1.711848393909080890e-02
2.300000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.333106691762344553e+01,-2.023229092230211523e-01,-1.414348628821450182e-01,2.840887811444442468e-01,3.522420236653862613e-01,2.296379278190720519e-01,2.678188091477688992e-01,1.551893651539767716e-01,5.839415297550370809e+00,1.666666666666666644e-02,1.666333222185172741e-02
2.400000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.080152072023035714e+01,-2.459528901520037780e-01,-1.779191859209117155e-01,2.098536149848728161e-01,2.546974888315203245e-01,2.999601877871637678e-01,3.830751354918009444e-01,2.880051910007755400e-01,5.796574168647870451e+00,1.666666666666666644e-02,1.655651883961320459e-02
2.500000000000000000e+01,3.984697268939267900e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.888614882722750110e+01,-9.367225823824476549e-02,-4.598238557389588976e-02,3.521266414041466369e-02,8.430481057281080659e-02,2.054906233122404946e-01,2.662831165818801971e-01,1.233300383775339515e-01,6.985405480000700607e+00,1.666666666666666644e-02,1.693720128931866173e-02
2.600000000000000000e+01,4.037229668598298460e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,6.030341242630147036e+01,1.524545153196017466e-01,1.863452338334103953e-01,1.558174437915902100e-01,2.004116836421654391e-01,2.304892984613920170e-01,2.798579750705796343e-01,9.238048578749125106e-02,9.810136428352723925e+00,1.666666666666666644e-02,1.660909191952873037e-02
2.700000000000000000e+01,3.093117527952907064e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,6.338943621491102220e+01,2.076022399158149456e-01,2.353659593318464527e-01,2.443751221483657643e-01,2.895194532383362773e-01,2.206191870599038818e-01,2.573317656720033320e-01,1.277164231556687235e-01,1.044825541660508961e+01,1.666666666666666644e-02,1.716850061131488386e-02
2.800000000000000000e+01,5.099332234213110882e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.552001921226806047e+01,-1.216853419099180322e-01,-7.484270973100970448e-02,1.683718806982923422e-01,2.271043392198541788e-01,3.749012760277228157e-02,8.971986911057538983e-02,2.187041226867357246e-01,6.969896423687787390e+00,1.666666666666666644e-02,1.632421918417250109e-02
2.900000000000000000e+01,2.988488631813613683e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.973766169238651713e+01,1.042160847883170094e-01,1.373259458633842023e-01,2.199431169960052168e-01,2.617312846940755833e-01,7.259592741116552284e-02,1.141086830077149283e-01,2.304599933426946523e-01,9.413445935952156063e+00,1.666666666666666644e-02,1.735100589085250555e-02
3.000000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.070171557892072656e+01,-2.354594730760481147e-01,-1.682729233632388466e-01,1.039985521139296931e-01,1.553098316040064653e-01,2.975252976880822797e-01,3.466837061721370628e-01,2.887823441022955850e-01,5.917736341103507769e+00,1.666666666666666644e-02,1.636578859619873191e-02
3.100000000000000000e+01,6.166263756359934289e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.595733728451839539e+01,-1.323247127315807514e-01,-8.197474827872264225e-02,1.630604068461938283e-01,2.279971492426060564e-01,2.681991495542039930e-02,7.865570134018362580e-02,2.259981670189714631e-02,6.503102124091252101e+00,1.666666666666666644e-02,1.666244303656774436e-02
3.200000000000000000e+01,8.340333202996134954e-02,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.446751173878228514e+01,-1.583696296862497077e-01,-1.069819255865529506e-01,1.789660308369824815e-01,2.456878607890000676e-01,2.753524043886062048e-02,7.715323810678187400e-02,1.827327506973927818e-01,6.295764726577173676e+00,1.666666666666666644e-02,1.650439035233966859e-02
3.300000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.175053049117826731e+01,-2.177902163791701207e-01,-1.569658061462931853e-01,1.349926263152386452e-01,1.758249837862309040e-01,1.232822408989622254e-01,1.698446528536374789e-01,7.455303823131897989e-02,5.637518881741590882e+00,1.666666666666666644e-02,1.661420473491163549e-02
3.400000000000000000e+01,2.690262094449579866e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.443812074798922396e+01,4.302488053913405830e-02,7.965410422538887758e-02,2.340301381574024786e-01,2.850626037232013577e-01,2.781112660023999858e-02,7.816730225215984262e-02,1.156850426442289533e-02,8.429674794530093607e+00,1.666666666666666644e-02,1.642792041791708499e-02
3.500000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.177207043428830247e+01,-2.443297684199606246e-01,-1.651669446315600087e-01,2.966174506233484331e-01,3.486078803966004003e-01,2.250252694115895680e-01,2.611553510469533101e-01,5.576445087633867537e-02,5.574543541860811580e+00,1.666666666666666644e-02,1.672090696898966347e-02
3.600000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,3.890839588422714712e+01,-2.997785865952786732e-01,-2.202270938382151488e-01,1.804842637110639914e-01,2.254324512689818150e-01,2.856542002218040999e-01,3.366639955875476709e-01,2.185521574787176735e-01,5.102710065692938279e+00,1.666666666666666644e-02,1.676381015894187060e-02
3.700000000000000000e+01,3.978129118563108690e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.282218148204803754e+01,7.326413815994359258e-03,5.131389636306793456e-02,1.392294522913222754e-01,2.059850114444992109e-01,5.783850868714728033e-02,1.142864618275709621e-01,2.833489808571920676e-01,8.470198058609112124e+00,1.666666666666666644e-02,1.655729687673668932e-02
3.800000000000000000e+01,3.038547225706981880e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.738516027149611887e+01,9.197742552751053680e-02,1.334366882065380899e-01,2.579123539771857043e-01,3.151927750206282575e-01,2.832598907422260170e-01,3.525180648253032345e-01,1.154319358550231212e-01,9.214874596830574305e+00,1.666666666666666644e-02,1.674135823052128394e-02
3.900000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,3.759840998766836861e+01,-3.145650932188592264e-01,-2.348737381533493318e-01,2.393697063847815554e-01,2.970508867347598780e-01,2.461205639695143721e-01,2.906630057567900494e-01,1.640667468436064202e-01,4.860435420766179959e+00,1.666666666666666644e-02,1.672902078470601267e-02
