# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
2.200000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.013880472178487935e+01,-2.384817639009352563e-01,-1.822602284878785950e-01,1.120960253394889944e-01,1.531728912596110881e-01,1.923030926744581370e-01,2.419374598349146588e-01,1.080456631855071375e-01,5.573851766889305281e+00,1.666666666666666644e-02,1.666811159275314105e-02
2.210000000000000000e+02,1.211973706448400856e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.593369251961500055e+01,-1.314971095003122370e-01,-7.610319285047506543e-02,2.892922045917905027e-01,3.278890799204474682e-01,1.916798798720574862e-02,6.700613614740524859e-02,1.639712202595040580e-01,6.710569712192365088e+00,1.666666666666666644e-02,1.657908191619428609e-02
2.220000000000000000e+02,3.455089222933924287e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.335845064383909886e+01,5.763568145134018161e-02,9.209744708270162228e-02,2.055951555251024909e-01,2.480852667257922306e-01,2.507022564779100016e-01,2.912016780769026703e-01,1.578085278252442936e-01,8.405071337602398884e+00,1.666666666666666644e-02,1.635356229854395896e-02
2.230000000000000000e+02,3.075706365945806819e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.419388419969040172e+01,9.672317486920628538e-02,1.284628447327875733e-01,2.365100867485944724e-01,2.811258770093785220e-01,2.647350439117977516e-01,3.129021347790912344e-01,2.446156353901361713e-01,8.946236093836906988e+00,1.666666666666666644e-02,1.610147827053462141e-02
2.240000000000000000e+02,1.709368380427524148e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.295658425145180104e+01,-1.884210252061128965e-01,-1.304414155776761897e-01,8.671557741621378768e-02,1.311584654025410579e-01,2.137016800617983492e-01,2.611999281757644287e-01,2.080478451714523891e-01,6.411641557417793180e+00,1.666666666666666644e-02,1.658597310214516077e-02
2.250000000000000000e+02,2.611813598591210095e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.584388320061334809e+01,-1.384112063537623061e-01,-8.175100335626606096e-02,1.605466224792890528e-01,1.951082093346327984e-01,6.896054063035314541e-02,1.170974187820146284e-01,8.764970369695936070e-02,6.630081038022213491e+00,1.666666666666666644e-02,1.668900744692675478e-02
2.260000000000000000e+02,3.693675314040437474e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.472889616940457103e+01,9.950479199491346627e-02,1.293149352002582742e-01,1.034480409011545449e-01,1.419711002636292463e-01,2.055174145294524635e-01,2.428420517022340519e-01,2.684871783862873285e-01,9.088997079044116134e+00,1.666666666666666644e-02,1.626519951094809388e-02
2.270000000000000000e+02,3.544488329148816064e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.936277417675476897e+01,-8.355494255827244920e-02,-3.468647655888745795e-02,1.741704118207289820e-01,2.091473421494569607e-01,1.926804478372829144e-01,2.310884788646425658e-01,3.824143655757371307e-02,6.834782476084510172e+00,1.666666666666666644e-02,1.703189952206290991e-02
2.280000000000000000e+02,2.232858942423902260e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.540064117996567461e+01,-1.577418823925086366e-01,-9.358495609230477186e-02,1.625228300706469398e-01,2.052320107938505611e-01,2.065664693153210774e-01,2.391588002547735403e-01,1.271432434408583390e-01,6.477449362964070367e+00,1.666666666666666644e-02,1.673724574858286018e-02
2.290000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.128848050328336683e+01,-2.267203627593047388e-01,-1.621940234780674395e-01,2.215671621093325550e-01,2.632193029902432091e-01,2.036351441061420298e-01,2.485134686971890439e-01,2.910749984990243858e-02,5.651307166808472893e+00,1.666666666666666644e-02,1.664021340446815433e-02
2.300000000000000000e+02,1.320249419633242327e-01,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.363071155237942378e+01,-1.801143339158464418e-01,-1.206607253036726668e-01,2.646912959358168616e-01,3.059571760278034791e-01,7.756549819204829055e-02,1.242421946473943883e-01,1.892999947817298467e-01,6.447937599195443958e+00,1.666666666666666644e-02,1.665966433255529691e-02
2.310000000000000000e+02,1.447589361062227908e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.464726772959848233e+01,-1.792587135592086378e-01,-1.178502505952856438e-01,1.752627348256629858e-01,2.137060255454432678e-01,1.280130210567374804e-01,1.639037521849175949e-01,2.344482122486459819e-01,6.396092354658819090e+00,1.666666666666666644e-02,1.697132377459152977e-02
2.320000000000000000e+02,3.914864934735793334e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.471644203441117327e+01,5.663813450199511879e-02,9.778453701588873948e-02,1.038416161407146737e-01,1.477745481266901084e-01,4.344172403947738764e-02,9.189047399179939291e-02,9.812889795134038806e-02,8.251489522522629017e+00,1.666666666666666644e-02,1.667566966766699868e-02
2.330000000000000000e+02,4.139877360316242871e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.712891785660175969e+01,-1.014451768914194640e-01,-5.053718198539480788e-02,4.452713269975905330e-02,8.632842493302450571e-02,3.551215619678150387e-02,8.746039142373307484e-02,1.046716472481832860e-01,6.886743887253320651e+00,1.666666666666666644e-02,1.652728687340224503e-02
2.340000000000000000e+02,3.351771769310830873e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.429156877553131011e+01,4.766529297765625950e-02,8.605119509813441425e-02,2.096422242832204907e-01,2.563520491146804581e-01,2.599287957589008213e-01,2.852997781571351421e-01,7.398593276666481922e-02,8.252553056398692632e+00,1.666666666666666644e-02,1.668767366900077848e-02
2.350000000000000000e+02,1.452487744505551182e-01,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.375507939484459996e+01,-1.753026100612996019e-01,-1.227390027567411002e-01,2.860381335416040671e-01,3.389469918733822862e-01,1.753482837421318358e-02,6.264398390138814499e-02,2.728055335638467430e-02,6.113198414424316773e+00,1.666666666666666644e-02,1.672979882182949740e-02
2.360000000000000000e+02,3.267892765224969409e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.493722967093015086e+01,9.957737495170265740e-02,1.326451532528940547e-01,2.559305123367354717e-01,3.049112023558537832e-01,2.911903719413068692e-01,3.166174327031692215e-01,1.053383357593784680e-01,8.786586352544309975e+00,1.666666666666666644e-02,1.628676225408469402e-02
2.370000000000000000e+02,2.840607657500324290e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.176217721086115375e+01,-3.101204531094353678e-02,2.199885409554758198e-02,2.938867629411917037e-01,3.313803678332023495e-01,1.746666261282287247e-01,2.044316980896532243e-01,4.818604972287388044e-02,7.482357223484589426e+00,1.666666666666666644e-02,1.687495831943981381e-02
2.380000000000000000e+02,2.603148382536261352e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,6.095834147445486906e+01,1.783993446126718174e-01,2.070396224259234419e-01,2.437380897042936423e-01,2.769463431780201379e-01,2.334143350149391061e-01,2.716901070122867967e-01,3.982247256287282239e-02,9.116767945158896325e+00,1.666666666666666644e-02,1.707835945315104922e-02
2.390000000000000000e+02,3.785874083066452123e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.079778886867116228e+01,-5.617015035559680403e-02,-1.565406257312651483e-02,1.572608437027395445e-01,1.944630787010663830e-01,1.598408684781505440e-01,2.144132804730902730e-01,1.764884798260347720e-01,7.234468536088094481e+00,1.666666666666666644e-02,1.717272424141380593e-02
